,BirthYear,HasSibling,Age,Sex,SingleorDoubleParent,EMP_HOURS_17,EMP_HOURS_18,EMP_HOURS_19,EMP_HOURS_20,EMP_HOURS_21,EMP_HOURS_22,EMP_HOURS_23,EMP_HOURS_24,EMP_HOURS_25,EMP_HOURS_26,EMP_HOURS_27,EMP_HOURS_28,EMP_HOURS_29,EMP_HOURS_30,EMP_HOURS_31,EMP_HOURS_32,EMP_HOURS_33,EMP_HOURS_34,EMP_HOURS_35,EducationStat_17,EducationStat_18,EducationStat_19,EducationStat_20,EducationStat_21,EducationStat_22,EducationStat_23,EducationStat_24,EducationStat_25,EducationStat_26,EducationStat_27,EducationStat_28,EducationStat_29,EducationStat_30,EducationStat_31,EducationStat_32,EducationStat_33,EducationStat_34,EducationStat_35,FinalRelationshipStat_17,FinalRelationshipStat_18,FinalRelationshipStat_19,FinalRelationshipStat_20,FinalRelationshipStat_21,FinalRelationshipStat_22,FinalRelationshipStat_23,FinalRelationshipStat_24,FinalRelationshipStat_25,FinalRelationshipStat_26,FinalRelationshipStat_27,FinalRelationshipStat_28,FinalRelationshipStat_29,FinalRelationshipStat_30,FinalRelationshipStat_31,FinalRelationshipStat_32,FinalRelationshipStat_33,FinalRelationshipStat_34,FinalRelationshipStat_35
5612,1981,0,16,0,0,0,0,0,0,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,1,8,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,6,6,6,6,6,8
5614,1983,0,14,0,0,1,2,2,2,2,0,0,0,2,2,2,2,2,0,2,2,2,2,2,8,8,3,9,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
5615,1981,0,16,0,1,0,1,2,0,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,8,8,3,3,3,3,3,3,3,9,9,9,9,4,4,4,4,4,4,0,0,0,1,1,1,1,1,1,5,5,5,5,5,5,5,5,5,5
5616,1984,0,13,0,0,0,2,1,2,2,2,2,2,0,0,0,0,1,1,2,2,2,0,2,8,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,4,4
5617,1983,0,14,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,0,2,2,2,2,2,8,9,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,0,0,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2
5618,1980,1,17,1,0,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,8,3,9,4,4,4,4,4,9,4,9,9,4,4,4,4,4,4,4,2,2,4,4,4,4,4,4,4,6,6,6,6,6,6,6,6,6,6
5622,1980,1,17,1,1,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,8,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,1,1,6,6,6,8,8,8,8,8,8,8,8,8,6,6,6,8,8
5623,1981,1,16,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,8,3,3,3,3,3,9,4,4,4,4,4,4,4,4,4,4,4,4,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,6,6
5624,1982,1,15,0,1,2,0,0,0,0,0,0,2,2,0,2,2,2,2,2,2,0,2,2,8,8,3,3,3,3,3,3,3,3,10,4,4,10,10,10,10,10,6,2,2,2,2,2,2,6,6,6,6,6,6,6,6,6,6,6,6,6
5625,1983,1,14,0,1,0,0,0,0,0,2,2,0,0,0,0,0,2,2,2,2,2,2,2,8,3,3,3,9,4,4,4,4,4,4,4,4,4,10,10,6,6,6,1,1,1,1,4,2,2,2,2,2,2,6,6,6,6,6,6,6,6
5630,1983,0,14,1,0,1,0,2,2,2,2,2,2,2,2,2,2,2,1,1,2,2,2,2,8,1,1,1,1,3,3,3,3,3,3,3,3,9,9,9,5,5,5,4,4,2,2,2,2,2,4,4,4,4,4,4,4,4,4,4,2,4
5632,1982,0,15,1,0,2,2,2,2,1,2,2,2,2,2,2,2,1,1,1,1,2,2,2,8,3,9,9,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,1,2,2,2,2,6,6,6,6,6,6,6,6,6,6,6,6,6,6
5634,1983,1,14,1,1,2,2,2,2,2,2,1,2,2,2,2,2,2,0,0,0,2,2,2,9,4,4,4,4,4,4,4,4,9,4,4,10,10,10,10,6,6,6,0,1,1,1,1,1,1,1,1,1,3,3,3,5,5,5,5,5,5
5638,1981,0,16,1,1,2,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,8,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,1,2,4,4,2,2,2,2,2,2,2,2,2,2,2,2,2,4,2
5640,1984,0,13,1,0,0,1,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,8,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,4,6,6,6,6,8,8,8,8,8,8,8,8,8,8,8,8,8
5641,1981,0,16,1,0,2,2,1,2,1,1,1,2,0,0,2,0,0,0,0,0,2,2,2,8,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,4,4,6,6,6,6,6,8,8,8,6,6,6,6,6,6,6,6
5642,1980,0,17,0,0,0,0,1,2,2,2,2,1,1,1,1,0,2,0,2,2,2,2,2,8,8,8,10,10,10,10,10,10,10,11,6,6,6,6,6,6,6,6,0,0,0,0,1,1,1,1,1,1,1,3,3,3,3,3,3,3,5
5645,1981,0,16,0,0,0,2,2,2,0,0,0,0,2,2,0,1,0,0,2,0,2,0,0,8,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,4,4,4,2,2,2,2,4,4,2,6,6,6,6,6,6,6,6
5647,1982,0,15,1,0,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,8,10,10,10,4,9,4,10,4,9,9,4,4,4,4,4,4,4,4,0,1,1,1,2,4,2,2,2,4,4,6,6,6,6,6,6,6,6
5648,1980,1,17,1,1,2,1,1,0,2,0,0,0,0,0,2,0,0,0,2,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,6,6,6,6,6,6,6,6,6,6,6,8,8,8,8,8,8,8,8
5654,1982,1,15,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,8,9,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5660,1984,0,13,0,1,1,1,0,0,0,0,2,2,0,2,0,2,0,2,0,0,2,0,1,2,2,2,2,2,2,2,2,4,4,4,4,4,4,4,4,4,4,4,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
5662,1983,0,14,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,8,3,9,4,9,4,4,4,4,10,4,4,10,6,6,6,10,10,0,0,2,2,6,6,6,6,6,6,8,8,8,8,8,8,8,8,8
