,Not Sexually Active,Single and Sexually Active,Single and is Parent,Cohabilitating,Cohabilitating and is Parent,Married and Without Children,Married is a Parent,Divorced,Divorced and is a Parent,Prediction,ActualValue,ID,t
993,0.0002323436204444813,4.327721757962164e-05,0.4483044034734201,0.0010392941710836486,0.2524105483984959,5.4108040702437397e-05,0.29364139388969646,0.00041352869699612686,0.003861102491581143,Single and is Parent,Married is a Parent,316,17
994,0.0001769533167332693,0.0003029414840450703,2.7623008659147004e-05,0.0007496237437759921,4.578178143834492e-05,9.78811331306417e-05,0.9751674766688825,0.00031409601005389016,0.023117622853281207,Married is a Parent,Married is a Parent,316,18
995,0.00017413349712683873,0.0004163094875412421,2.8366628918355012e-05,0.0010750519469931242,4.422990098060117e-05,0.00014111615463099095,0.9736691320021837,0.0005313639229538236,0.02392029645867133,Married is a Parent,Married is a Parent,316,19
996,5.343037149884624e-05,0.8986937392777841,0.01485411503900923,0.055609690055160116,0.002594811712321657,0.02814172129428609,9.099901557625639e-09,2.814585355299463e-05,2.4337296485599276e-05,Single and Sexually Active,Single and is Parent,322,8
997,0.00028131475624963264,8.676371831879478e-05,0.6299439853877872,7.381799520292093e-05,0.08810363980052142,0.00016255958671214786,0.2781324550840454,1.8041893518628158e-06,0.0032136594818107786,Single and is Parent,Single and is Parent,322,9
998,0.000273066546107603,0.00011761103840214492,0.6381033879460293,0.00010442409763520598,0.08395943336948815,0.00023117597637601614,0.2739278770121611,3.0106767530892714e-06,0.003280013337047393,Single and is Parent,Single and is Parent,322,10
999,0.0002649491033426339,0.00015935877636759374,0.646097618848612,0.0001476580705548692,0.07997663372933816,0.0003286175760588908,0.2696738076616151,5.021854392313547e-06,0.003346334379718467,Single and is Parent,Cohabilitating and is Parent,322,11
1000,0.00044424939877849316,6.302657095334611e-06,0.133610681293387,8.80722384575559e-05,0.16295013199914482,3.737902612293872e-05,0.700185921712721,7.722621818213597e-06,0.002669539052474711,Married is a Parent,Cohabilitating and is Parent,322,12
1001,0.00043842159265687245,8.686057722010185e-06,0.13760030554670635,0.00012666791514874716,0.15787721905450045,5.404396438682507e-05,0.7011114176485101,1.3101948394777483e-05,0.002770136271973807,Married is a Parent,Cohabilitating and is Parent,322,13
1002,0.0004325356578574988,1.1967037084012114e-05,0.14166498243108333,0.00018212061342011776,0.15291465639613266,7.811443759186809e-05,0.7018197717740021,2.222142447848707e-05,0.0028736302283498736,Married is a Parent,Married is a Parent,322,14
1003,0.00014025922553518848,3.566708526892946e-05,3.7165677361002717e-06,5.593008926429545e-05,1.1809074597324679e-05,6.016584992786059e-05,0.9923596473057831,7.186380820225555e-06,0.007325618421067115,Married is a Parent,Married is a Parent,322,15
1004,0.00013819048950125616,4.907364125291274e-05,3.821218786013442e-06,8.030724592136e-05,1.1422528472522018e-05,8.684621695058855e-05,0.9920290578016175,1.2172028944628593e-05,0.0075891088285533065,Married is a Parent,Married is a Parent,322,16
1005,0.0001361467401353968,6.751671764529373e-05,3.928657142809926e-06,0.0001153045182276584,1.1048186730105189e-05,0.00012535282549992974,0.9916583291942389,2.0615700609181264e-05,0.007861757459770836,Married is a Parent,Married is a Parent,322,17
1006,0.00013412582713679514,9.288603652666255e-05,4.038893749212238e-06,0.0001655442089162406,1.0685524304926129e-05,0.00018092285152744862,0.9912331291936343,3.491477878861568e-05,0.008143752685415914,Married is a Parent,Married is a Parent,322,18
1007,0.00013212482841772636,0.00012777809230583257,4.15190668963831e-06,0.00023765585440285942,1.033397779856891e-05,0.00026110763887219235,0.990732501386634,5.912720474430612e-05,0.008435219110134796,Married is a Parent,Married is a Parent,322,19
1008,1.8977929514230297e-05,0.00013184528678435758,1.1078276526944116e-05,1.5308036763546522e-05,8.66448953799017e-06,1.0206310238824261e-05,0.9876233327392149,1.5540300314275886e-05,0.012165046631104962,Married is a Parent,Married is a Parent,323,8
1009,1.744704782200678e-05,0.00011416618190708104,1.0796168669187103e-05,2.0907288540188655e-05,8.939513235522356e-06,1.3239586410286457e-05,0.9887992862740356,1.9258804259964126e-05,0.01099595913512025,Married is a Parent,Married is a Parent,323,9
1010,1.6037730727158055e-05,9.884579271779696e-05,1.0519981212617867e-05,2.855116100743724e-05,9.222158997831559e-06,1.717227818681643e-05,0.989857756761542,2.386421070382089e-05,0.00993802992490461,Married is a Parent,Married is a Parent,323,10
1011,1.474062985802359e-05,8.55718769527143e-05,1.024972999758208e-05,3.8985399682345095e-05,9.512693349260675e-06,2.2270684726608914e-05,0.9908082058701386,2.9567662225439216e-05,0.008980895453069258,Married is a Parent,Married is a Parent,323,11
1012,1.3547058441816129e-05,7.407297148036948e-05,9.985405956603498e-06,5.3227497538781154e-05,9.811382976574556e-06,2.8879858706192242e-05,0.991658727672059,3.663049110921728e-05,0.008115117661731385,Married is a Parent,Married is a Parent,323,12
1013,1.2448953389160069e-05,6.411318455420818e-05,9.726977239502412e-06,7.266561931299455e-05,1.0118492932152899e-05,3.7446862117438657e-05,0.9924159954310171,4.537612103884082e-05,0.007332108358398702,Married is a Parent,Married is a Parent,323,13
1014,1.1438837645151895e-05,5.548762673168987e-05,9.47439074576465e-06,9.919348040235181e-05,1.043428405946826e-05,4.855087011445381e-05,0.9930851574267151,5.62047748583977e-05,0.006624058308727711,Married is a Parent,Married is a Parent,323,14
1015,1.0509783187768494e-05,4.801840789967511e-05,9.227573013315799e-06,0.0001353942072364528,1.0759009336010824e-05,6.294212619979648e-05,0.9936696662246445,6.96116396073788e-05,0.00598387102887514,Married is a Parent,Married is a Parent,323,15
1016,9.655374951712643e-06,4.155113476870798e-05,8.986430385779834e-06,0.00018479089322799574,1.109290871252644e-05,8.159232846570883e-05,0.9941710204618435,8.620928430119343e-05,0.005405101183343011,Married is a Parent,Married is a Parent,323,16
1017,8.869675869149671e-06,3.5951849777132635e-05,8.750848345447989e-06,0.0002521879113251766,1.1436201866304583e-05,0.00010575976176163819,0.9945883910167541,0.00010675529751114636,0.004881897436789875,Married is a Parent,Married is a Parent,323,17
1018,8.14719314571771e-06,3.110435850874677e-05,8.520689854507238e-06,0.0003441356159987756,1.1789078063440698e-05,0.00013707342284827525,0.9949180937624614,0.00013218631257916615,0.0044089495665398,Married is a Parent,Married is a Parent,323,18
1019,7.482845828480121e-06,2.6907898436152472e-05,8.295792490064609e-06,0.00046956260276349805,1.2151682017686051e-05,0.00017764155809319788,0.9951528581894152,0.00016365981757073076,0.003981439613385121,Married is a Parent,Married is a Parent,323,19
1020,6.476515195083979e-05,2.92910022735757e-05,3.7726199548622223e-07,1.737480595999009e-05,4.599625831163062e-05,7.054050884994884e-11,0.10202898221157236,4.199049704458798e-05,0.897771222740351,Divorced and is a Parent,Divorced and is a Parent,325,8
1021,6.181317850733372e-05,3.903982523774566e-05,3.7574730813268325e-07,2.4166967145762712e-05,4.309847032132229e-05,9.863530819144178e-11,0.0988033842206557,6.889643225894267e-05,0.9009592250599298,Divorced and is a Parent,Divorced and is a Parent,325,9
1022,5.898768821696851e-05,5.202620045019673e-05,3.7418753063640897e-07,3.360972452511254e-05,4.037772266509498e-05,1.379008160850802e-10,0.09566667921028711,0.00011302722447821179,0.9040349179039457,Divorced and is a Parent,Divorced and is a Parent,325,10
1023,1.8339028785582054e-05,4.427955219724508e-06,1.3038677733981464e-07,2.7851720808821026e-06,1.3935296100432547e-05,5.595068950252039e-12,0.05951915392445537,1.382028733993491e-06,0.9404398462022515,Divorced and is a Parent,Divorced and is a Parent,325,11
1024,1.747763207583124e-05,5.893094776067811e-06,1.296740111745445e-07,3.868305763459899e-06,1.3038334725868608e-05,7.812064741991549e-12,0.05755347994357256,2.264276000016497e-06,0.9424038487312629,Divorced and is a Parent,Divorced and is a Parent,325,12
1025,3.524129121336612e-05,2.4837178474779893e-05,1.6811950135963112e-07,8.523346851055037e-06,1.1334076980824744e-05,8.52893759449392e-12,0.0830808881272564,1.285016237487931e-05,0.9168261576888184,Divorced and is a Parent,Divorced and is a Parent,325,13
1026,3.361327038210869e-05,3.308225918230271e-05,1.6733630809439882e-07,1.1847633743914084e-05,1.0613161656382579e-05,1.1918127408034438e-11,0.08040233580013051,2.1070439880729365e-05,0.9194872700867978,Divorced and is a Parent,Divorced and is a Parent,325,14
1027,1.5122368919824723e-05,1.3886170610162805e-05,1.2750569425549108e-07,1.0359660769550736e-05,1.0674765812166851e-05,2.1255212985069776e-11,0.052015713505307794,9.95370327118346e-06,0.9479241622983597,Divorced and is a Parent,Divorced and is a Parent,325,15
1028,1.440809370757245e-05,1.8475795113664144e-05,1.2677377100698835e-07,1.438449870263379e-05,9.984922912326059e-06,2.9669230811780695e-11,0.05028400193365803,1.630337115912145e-05,0.9496423145813063,Divorced and is a Parent,Divorced and is a Parent,325,16
1029,1.3726622791702868e-05,2.4580700631768316e-05,1.2603748169901953e-07,1.9971671206125167e-05,9.339025385270402e-06,4.1411178745554524e-11,0.048606638563478605,2.6701805057642055e-05,0.9512989155325561,Divorced and is a Parent,Divorced and is a Parent,325,17
1030,1.307647203180912e-05,3.2700552650480285e-05,1.252967309166431e-07,2.772705850057616e-05,8.734300113439525e-06,5.7796110522898024e-11,0.04698195197297622,4.37294022564222e-05,0.952891954886944,Divorced and is a Parent,Divorced and is a Parent,325,18
1031,1.245619843596375e-05,4.349947009250019e-05,1.2455116730480953e-07,3.849118033016641e-05,8.168131180110864e-06,8.065804146557491e-11,0.04540822902042483,7.161013625871353e-05,0.9544174212314525,Divorced and is a Parent,Divorced and is a Parent,325,19
1032,6.52756894397705e-05,0.00029656784396154824,0.8707706966857607,3.4992698412851145e-05,0.11897430626329258,3.3284289526421055e-05,0.009634095428747052,0.0001223713689773363,6.84097318817821e-05,Single and is Parent,Married is a Parent,326,8
1033,0.00010007583362919027,0.0005300043255934275,6.898729275945089e-05,9.805893179337259e-05,3.6588463205030074e-05,6.290147513362564e-05,0.9039071910956028,0.00016867942547973462,0.09502751315680359,Married is a Parent,Married is a Parent,326,9
1034,1.3853546408459602e-05,0.00011484185818936809,1.8659632967489236e-05,2.5536525293336363e-05,1.3879778489505716e-05,8.793028550125843e-06,0.9925094495901137,5.563674589226903e-05,0.0072393492940955794,Married is a Parent,Married is a Parent,326,10
1035,1.2729732088405749e-05,9.939356232432976e-05,1.8175473507995774e-05,3.485982456700305e-05,1.431326139687124e-05,1.1400642145675395e-05,0.9931998159606109,6.891548394401282e-05,0.006540396059414969,Married is a Parent,Married is a Parent,326,11
1036,1.1696176257293635e-05,8.60166734088281e-05,1.7702504442783854e-05,4.758334100437399e-05,1.4759138607810702e-05,1.4780410145012063e-05,0.9938136366850832,8.535682272857388e-05,0.005908468248322201,Married is a Parent,Married is a Parent,326,12
